Date,Open,High,Low,Close,Volume
2024-10-21,188.0500030517578,189.4600067138672,186.39999389648438,189.07000732421875,24639400
2024-10-22,188.35000610351562,191.52000427246094,186.97999572753906,189.6999969482422,29650600
2024-10-23,188.85000610351562,189.16000366210938,183.69000244140625,184.7100067138672,31937100
2024-10-24,185.25,187.11000061035156,183.86000061035156,186.3800048828125,21647400
2024-10-25,187.85000610351562,190.4499969482422,187.52999877929688,187.8300018310547,29362100
2024-10-28,189.57000732421875,190.2100067138672,188.2100067138672,188.38999938964844,27930800
2024-10-29,188.5800018310547,191.4600067138672,187.82000732421875,190.8300018310547,35690200
2024-10-30,194.6999969482422,195.61000061035156,192.4199981689453,192.72999572753906,37707600
2024-10-31,190.50999450683594,190.60000610351562,185.22999572753906,186.39999389648438,75146800
2024-11-01,199.0,200.5,197.02000427246094,197.92999267578125,99687800
2024-11-04,196.4499969482422,197.3300018310547,194.30999755859375,195.77999877929688,38492100
2024-11-05,196.0399932861328,199.82000732421875,195.99000549316406,199.5,30564800
2024-11-06,200.00999450683594,207.5500030517578,199.13999938964844,207.08999633789062,72292200
2024-11-07,207.44000244140625,212.25,207.19000244140625,210.0500030517578,52878400
2024-11-08,209.72000122070312,209.9600067138672,207.44000244140625,208.17999267578125,36075800
2024-11-11,208.5,209.64999389648438,205.58999633789062,206.83999633789062,35456000
2024-11-12,208.3699951171875,209.5399932861328,206.00999450683594,208.91000366210938,38942900
2024-11-13,209.39999389648438,215.08999633789062,209.13999938964844,214.10000610351562,46212900
2024-11-14,214.16000366210938,215.89999389648438,210.8800048828125,211.47999572753906,42620300
2024-11-15,206.75999450683594,207.33999633789062,199.61000061035156,202.61000061035156,86591100
2024-11-18,204.14999389648438,204.6699981689453,200.9499969482422,201.6999969482422,36512500
2024-11-19,199.3300018310547,205.3000030517578,198.77999877929688,204.61000061035156,30916900
